date,region,product_category,revenue,units_sold,cost,channel
2024-01-01,EMEIA - Europe,iPhone,1277885,6027,832542,Retail
2024-01-01,EMEIA - Europe,Mac,923479,2443,642879,Retail
2024-01-01,EMEIA - Europe,iPad,628976,3068,428903,Retail
2024-01-01,EMEIA - Europe,Services,450385,1352,158351,Online
2024-01-01,EMEIA - Europe,Wearables,363002,1055,237895,Retail
2024-01-01,EMEIA - Middle East,iPhone,433314,2113,264501,Online
2024-01-01,EMEIA - Middle East,Mac,290269,793,192389,Online
2024-01-01,EMEIA - Middle East,iPad,198236,742,134488,Retail
2024-01-01,EMEIA - Middle East,Services,150597,669,62153,Online
2024-01-01,EMEIA - Middle East,Wearables,126547,396,77481,Retail
2024-01-01,EMEIA - India,iPhone,605340,1631,465575,Retail
2024-01-01,EMEIA - India,Mac,284437,1489,215377,Online
2024-01-01,EMEIA - India,iPad,205137,527,151844,Retail
2024-01-01,EMEIA - India,Services,183142,863,60486,Retail
2024-01-01,EMEIA - India,Wearables,154064,472,105718,Retail
2024-01-01,EMEIA - Africa,iPhone,200759,1224,160721,Retail
2024-01-01,EMEIA - Africa,Mac,103045,472,84322,Retail
2024-01-01,EMEIA - Africa,iPad,68670,298,54700,Retail
2024-01-01,EMEIA - Africa,Services,56367,211,26703,Retail
2024-01-01,EMEIA - Africa,Wearables,46194,160,33943,Online
2024-02-01,EMEIA - Europe,iPhone,1331887,5285,899964,Online
2024-02-01,EMEIA - Europe,Mac,959389,3476,719400,Retail
2024-02-01,EMEIA - Europe,iPad,661507,2133,484002,Retail
2024-02-01,EMEIA - Europe,Services,482805,1946,181211,Online
2024-02-01,EMEIA - Europe,Wearables,395475,993,256300,Retail
2024-02-01,EMEIA - Middle East,iPhone,447239,1307,266944,Online
2024-02-01,EMEIA - Middle East,Mac,334638,1282,220998,Retail
2024-02-01,EMEIA - Middle East,iPad,200330,923,137672,Retail
2024-02-01,EMEIA - Middle East,Services,145078,641,57506,Retail
2024-02-01,EMEIA - Middle East,Wearables,122188,310,75237,Retail
2024-02-01,EMEIA - India,iPhone,615695,1590,455193,Online
2024-02-01,EMEIA - India,Mac,321413,1523,250669,Retail
2024-02-01,EMEIA - India,iPad,210351,1230,154406,Online
2024-02-01,EMEIA - India,Services,197611,571,74831,Retail
2024-02-01,EMEIA - India,Wearables,152344,793,106414,Online
2024-02-01,EMEIA - Africa,iPhone,201739,521,158646,Retail
2024-02-01,EMEIA - Africa,Mac,104379,330,82870,Online
2024-02-01,EMEIA - Africa,iPad,73425,344,56614,Retail
2024-02-01,EMEIA - Africa,Services,52698,253,23780,Retail
2024-02-01,EMEIA - Africa,Wearables,45541,218,34723,Retail
2024-03-01,EMEIA - Europe,iPhone,1397638,4973,980552,Retail
2024-03-01,EMEIA - Europe,Mac,992528,5423,713751,Online
2024-03-01,EMEIA - Europe,iPad,624230,3152,442191,Retail
2024-03-01,EMEIA - Europe,Services,442027,1733,166141,Online
2024-03-01,EMEIA - Europe,Wearables,422227,1340,263153,Retail
2024-03-01,EMEIA - Middle East,iPhone,417806,1961,264760,Retail
2024-03-01,EMEIA - Middle East,Mac,315258,1608,210250,Online
2024-03-01,EMEIA - Middle East,iPad,207402,788,141545,Retail
2024-03-01,EMEIA - Middle East,Services,139028,349,62556,Retail
2024-03-01,EMEIA - Middle East,Wearables,142874,562,88713,Online
2024-03-01,EMEIA - India,iPhone,630314,3282,480223,Online
2024-03-01,EMEIA - India,Mac,290921,1304,219187,Online
2024-03-01,EMEIA - India,iPad,236099,740,175617,Online
2024-03-01,EMEIA - India,Services,185363,622,62616,Retail
2024-03-01,EMEIA - India,Wearables,175653,645,118289,Retail
2024-03-01,EMEIA - Africa,iPhone,192045,1149,149885,Retail
2024-03-01,EMEIA - Africa,Mac,106792,273,83736,Retail
2024-03-01,EMEIA - Africa,iPad,77283,300,57373,Online
2024-03-01,EMEIA - Africa,Services,62354,271,28823,Retail
2024-03-01,EMEIA - Africa,Wearables,48971,216,35643,Online
2024-04-01,EMEIA - Europe,iPhone,1304228,8580,906584,Online
2024-04-01,EMEIA - Europe,Mac,1073922,6392,777282,Retail
2024-04-01,EMEIA - Europe,iPad,667127,1779,458948,Retail
2024-04-01,EMEIA - Europe,Services,513105,1958,190963,Online
2024-04-01,EMEIA - Europe,Wearables,415799,1458,282424,Retail
2024-04-01,EMEIA - Middle East,iPhone,476564,2707,297030,Retail
2024-04-01,EMEIA - Middle East,Mac,329640,1132,228566,Retail
2024-04-01,EMEIA - Middle East,iPad,207626,876,138339,Retail
2024-04-01,EMEIA - Middle East,Services,159340,579,70296,Online
2024-04-01,EMEIA - Middle East,Wearables,147082,471,91303,Online
2024-04-01,EMEIA - India,iPhone,692989,1997,493855,Retail
2024-04-01,EMEIA - India,Mac,336370,1278,250836,Online
2024-04-01,EMEIA - India,iPad,240672,631,170085,Retail
2024-04-01,EMEIA - India,Services,205790,707,76157,Retail
2024-04-01,EMEIA - India,Wearables,173948,457,116981,Retail
2024-04-01,EMEIA - Africa,iPhone,226116,706,172437,Retail
2024-04-01,EMEIA - Africa,Mac,104319,261,83830,Retail
2024-04-01,EMEIA - Africa,iPad,83826,210,63221,Retail
2024-04-01,EMEIA - Africa,Services,63608,164,28718,Online
2024-04-01,EMEIA - Africa,Wearables,54683,147,40722,Retail
2024-05-01,EMEIA - Europe,iPhone,1323697,5359,922937,Retail
2024-05-01,EMEIA - Europe,Mac,1139850,4769,801708,Online
2024-05-01,EMEIA - Europe,iPad,716976,4596,525026,Retail
2024-05-01,EMEIA - Europe,Services,486958,1226,178575,Online
2024-05-01,EMEIA - Europe,Wearables,408044,1117,265458,Online
2024-05-01,EMEIA - Middle East,iPhone,512449,2627,305891,Online
2024-05-01,EMEIA - Middle East,Mac,327291,974,221181,Online
2024-05-01,EMEIA - Middle East,iPad,220037,887,151617,Retail
2024-05-01,EMEIA - Middle East,Services,153336,541,66321,Retail
2024-05-01,EMEIA - Middle East,Wearables,139404,362,80045,Online
2024-05-01,EMEIA - India,iPhone,697886,2089,523277,Online
2024-05-01,EMEIA - India,Mac,342589,1354,263798,Online
2024-05-01,EMEIA - India,iPad,249957,640,177847,Online
2024-05-01,EMEIA - India,Services,218425,740,81727,Online
2024-05-01,EMEIA - India,Wearables,180151,807,129712,Retail
2024-05-01,EMEIA - Africa,iPhone,215950,930,169477,Online
2024-05-01,EMEIA - Africa,Mac,108737,401,88135,Retail
2024-05-01,EMEIA - Africa,iPad,82689,265,62597,Online
2024-05-01,EMEIA - Africa,Services,57592,178,29206,Online
2024-05-01,EMEIA - Africa,Wearables,51391,319,37615,Retail
2024-06-01,EMEIA - Europe,iPhone,1515135,9018,1040407,Online
2024-06-01,EMEIA - Europe,Mac,1087407,3265,791399,Online
2024-06-01,EMEIA - Europe,iPad,696872,2137,484074,Retail
2024-06-01,EMEIA - Europe,Services,538055,1541,216097,Online
2024-06-01,EMEIA - Europe,Wearables,408268,1447,272823,Online
2024-06-01,EMEIA - Middle East,iPhone,457985,1721,277058,Retail
2024-06-01,EMEIA - Middle East,Mac,381816,1264,259655,Online
2024-06-01,EMEIA - Middle East,iPad,245623,686,167879,Online
2024-06-01,EMEIA - Middle East,Services,173200,509,73241,Online
2024-06-01,EMEIA - Middle East,Wearables,145701,662,89621,Online
2024-06-01,EMEIA - India,iPhone,724908,2183,526628,Online
2024-06-01,EMEIA - India,Mac,340158,2000,255169,Retail
2024-06-01,EMEIA - India,iPad,242878,735,175596,Retail
2024-06-01,EMEIA - India,Services,205125,762,70656,Online
2024-06-01,EMEIA - India,Wearables,176576,463,127130,Retail
2024-06-01,EMEIA - Africa,iPhone,237049,871,188675,Retail
2024-06-01,EMEIA - Africa,Mac,120683,327,95088,Online
2024-06-01,EMEIA - Africa,iPad,83306,219,65318,Retail
2024-06-01,EMEIA - Africa,Services,63130,402,29442,Online
2024-06-01,EMEIA - Africa,Wearables,53752,160,40891,Retail
